"Date","Price","Open","High","Low","Vol","Change"
"03/22/2024","46.7000","46.7500","46.7500","46.7500","","0.21%"
"03/21/2024","46.6000","46.9000","47.0900","46.5700","","-0.53%"
"03/20/2024","46.8500","47.0500","47.2000","46.8500","","-0.32%"
"03/19/2024","47.0000","47.1500","47.2900","46.9500","","-0.13%"
"03/18/2024","47.0600","47.2500","47.4200","47.0500","","-0.28%"
"03/17/2024","47.1900","47.8000","47.9500","47.2100","","-1.17%"
"03/16/2024","47.7500","47.8000","47.8500","47.8000","","0.00%"
"03/15/2024","47.7500","47.8000","47.8000","47.8000","","0.00%"
"03/14/2024","47.7500","48.4500","48.5700","47.7500","","-1.34%"
"03/13/2024","48.4000","48.9000","49.0500","48.3100","","-0.72%"
"03/12/2024","48.7500","49.0000","49.1800","48.7000","","-0.51%"
"03/11/2024","49.0000","49.1500","49.3000","48.9500","","-0.71%"
"03/08/2024","49.3500","49.4000","49.4000","49.4000","","0.10%"
"03/07/2024","49.3000","49.6000","49.6500","49.3000","","-0.40%"
"03/06/2024","49.5000","30.9000","50.8000","30.8000","","60.45%"
"03/05/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"03/04/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"03/01/2024","30.8500","30.9000","30.9000","30.9000","","0.00%"
"02/29/2024","30.8500","30.9000","30.9499","30.8000","","-0.26%"
"02/28/2024","30.9300","30.9000","30.9499","30.8000","","0.26%"
"02/27/2024","30.8500","30.9000","30.9499","30.8000","","-0.26%"
"02/26/2024","30.9300","30.9000","30.9499","30.8000","","0.26%"
"02/24/2024","30.8500","30.9000","30.9000","30.9000","","-0.14%"
"02/23/2024","30.8930","30.9009","30.9860","30.8878","","0.14%"
"02/22/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"02/21/2024","30.8500","30.9000","30.9499","30.8000","","-0.26%"
"02/20/2024","30.9300","30.9000","30.9499","30.8000","","0.26%"
"02/19/2024","30.8500","30.9002","30.9499","30.8000","","0.00%"
"02/17/2024","30.8500","30.9000","30.9000","30.9000","","-0.16%"
"02/16/2024","30.8982","30.9045","30.9128","30.8881","","0.16%"
"02/15/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"02/14/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"02/13/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"02/12/2024","30.8500","30.9000","30.9499","30.8000","","-0.15%"
"02/09/2024","30.8975","30.8972","30.9111","30.8876","","0.15%"
"02/08/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"02/07/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"02/06/2024","30.8500","30.9002","30.9499","30.8000","","0.00%"
"02/05/2024","30.8500","30.9000","30.9499","30.8000","","-0.17%"
"02/02/2024","30.9030","30.9001","30.9123","30.8857","","0.17%"
"02/01/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/31/2024","30.8500","30.9000","30.9499","30.8000","","-0.26%"
"01/30/2024","30.9300","30.9000","30.9499","30.8000","","0.26%"
"01/29/2024","30.8500","30.9000","30.9499","30.9000","","-0.18%"
"01/26/2024","30.9043","30.9034","30.9120","30.8848","","0.01%"
"01/25/2024","30.9021","30.9024","30.9185","30.8850","","0.17%"
"01/24/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/23/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/22/2024","30.8500","30.9000","30.9499","30.8000","","-0.16%"
"01/19/2024","30.8984","30.8967","30.9192","30.8875","","0.16%"
"01/18/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/17/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/16/2024","30.8500","30.9000","30.9499","30.8000","","-0.26%"
"01/15/2024","30.9300","30.9000","30.9499","30.8000","","0.09%"
"01/12/2024","30.9023","30.8983","30.9223","30.8884","","0.17%"
"01/11/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/10/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/09/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/08/2024","30.8500","30.9000","30.9499","30.8000","","0.15%"
"01/05/2024","30.8032","30.7971","30.8900","30.7823","","0.17%"
"01/04/2024","30.7500","30.9000","30.9499","30.8000","","-0.49%"
"01/03/2024","30.9000","30.9000","30.9499","30.8000","","0.00%"
"01/02/2024","30.9000","30.9000","30.9499","30.8000","","-0.43%"
"01/01/2024","31.0323","31.0302","31.0351","30.9213","","0.33%"
"12/29/2023","30.9292","30.9187","30.9389","30.9124","","0.09%"
"12/28/2023","30.9000","30.9000","30.9499","30.8000","","0.49%"
"12/27/2023","30.7500","30.9000","30.9499","30.8000","","-0.32%"
"12/26/2023","30.8500","30.9000","30.9499","30.8000","","-0.32%"
"12/25/2023","30.9499","30.9000","30.9499","30.8000","","0.19%"
"12/22/2023","30.8919","30.9007","30.9133","30.8863","","0.14%"
"12/21/2023","30.8500","30.9000","30.9499","30.8000","","0.00%"
"12/20/2023","30.8500","30.9000","30.9499","30.8000","","-0.16%"
"12/19/2023","30.9000","30.9000","30.9499","30.8000","","0.16%"
"12/18/2023","30.8500","30.9000","30.9499","30.8000","","-0.24%"
"12/15/2023","30.9243","30.9310","30.9509","30.9117","","0.08%"
"12/14/2023","30.9000","30.9000","30.9499","30.8000","","0.16%"
"12/13/2023","30.8500","30.9000","30.9499","30.8000","","-0.16%"
"12/12/2023","30.9000","30.9000","30.9499","30.8000","","0.00%"
"12/11/2023","30.9000","30.9000","30.9499","30.8000","","0.01%"
"12/08/2023","30.8964","30.8997","30.9121","30.8829","","0.15%"
"12/07/2023","30.8500","30.9000","30.9499","30.9000","","-0.32%"
"12/06/2023","30.9499","30.9000","30.9499","30.8000","","0.65%"
"12/05/2023","30.7500","30.9000","30.9499","30.8000","","-0.49%"
"12/04/2023","30.9000","30.9000","30.9499","30.8000","","-0.01%"
"12/01/2023","30.9028","30.9037","30.9118","30.8884","","0.17%"
"11/30/2023","30.8500","30.9000","30.9499","30.8000","","-0.32%"
